status,product,component,hardware,importance
0.0,100.0,309.0,21.0,2.0
1.0,75.0,293.0,37.0,2.0
1.0,75.0,293.0,59.0,2.0
1.0,95.0,309.0,59.0,5.0
0.0,50.0,309.0,1.0,2.0
1.0,75.0,46.0,37.0,2.0
1.0,42.0,116.0,41.0,5.0
1.0,75.0,293.0,37.0,2.0
1.0,43.0,46.0,59.0,2.0
1.0,42.0,116.0,1.0,5.0
1.0,100.0,264.0,1.0,2.0
1.0,100.0,300.0,59.0,2.0
1.0,100.0,309.0,59.0,5.0
1.0,6.0,56.0,1.0,2.0
1.0,75.0,293.0,37.0,2.0
1.0,100.0,313.0,59.0,4.0
0.0,100.0,29.0,59.0,3.0
1.0,100.0,251.0,41.0,5.0
1.0,136.0,404.0,47.0,5.0
1.0,147.0,52.0,1.0,2.0
1.0,100.0,264.0,59.0,5.0
1.0,100.0,251.0,59.0,6.0
0.0,11.0,350.0,64.0,5.0
0.0,100.0,309.0,37.0,5.0
1.0,42.0,116.0,59.0,5.0
0.0,100.0,36.0,59.0,2.0
1.0,50.0,46.0,59.0,2.0
1.0,100.0,264.0,59.0,5.0
1.0,137.0,449.0,59.0,5.0
1.0,100.0,68.0,59.0,2.0
1.0,54.0,46.0,59.0,5.0
1.0,42.0,116.0,59.0,5.0
1.0,100.0,271.0,59.0,5.0
0.0,100.0,29.0,59.0,5.0
0.0,100.0,300.0,37.0,5.0
0.0,100.0,15.0,59.0,5.0
1.0,100.0,309.0,59.0,5.0
1.0,75.0,293.0,59.0,2.0
1.0,100.0,309.0,59.0,5.0
1.0,100.0,309.0,59.0,2.0
0.0,100.0,29.0,59.0,5.0
1.0,50.0,46.0,59.0,5.0
1.0,100.0,15.0,59.0,5.0
1.0,100.0,264.0,1.0,2.0
1.0,11.0,349.0,41.0,5.0
1.0,100.0,309.0,59.0,5.0
1.0,100.0,264.0,59.0,5.0
1.0,100.0,264.0,40.0,2.0
1.0,6.0,249.0,59.0,5.0
0.0,100.0,264.0,42.0,2.0
0.0,100.0,300.0,59.0,2.0
0.0,50.0,309.0,37.0,5.0
1.0,100.0,251.0,59.0,2.0
1.0,100.0,264.0,59.0,3.0
0.0,50.0,309.0,1.0,5.0
0.0,100.0,300.0,59.0,2.0
0.0,100.0,300.0,59.0,2.0
0.0,100.0,29.0,59.0,5.0
