status,product,component,hardware,importance
NEW,Platform,SWT,PC Windows XP,minor
NEW,GMF-Tooling,Core,All All,enhancement
NEW,PDE,UI,All All,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,WTP Java EE Tools,jst.j2ee,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,UI,PC All,normal
NEW,Mylyn,UI,PC All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,Mylyn,Tasks,PC Windows XP,enhancement
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,IDE,PC Windows XP,normal
NEW,Mylyn,Java,PC All,enhancement
NEW,GMF-Runtime,General,PC Windows XP,minor
NEW,GMF-Runtime,General,PC Windows XP,enhancement
NEW,Platform,User,PC Windows XP,normal
NEW,Platform,UI,PC Windows 2000,enhancement
ASSIGNED,JDT,UI,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,enhancement
NEW,GEF,GEF-Legacy,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,minor
NEW,WTP Webservices,wst.wsdl,All All,normal
NEW,Platform,UI,All All,enhancement
NEW,CDT,cdt-core,PC Windows 2000,normal
NEW,Platform,SWT,PC Windows XP,major
NEW,Platform,IDE,PC Windows XP,normal
NEW,GEF,GEF-Legacy,PC Windows XP,normal
NEW,Platform,UI,All All,normal
NEW,Platform,UI,PC Windows XP,normal
ASSIGNED,Platform,UI,All All,normal
NEW,Platform,UI,PC Windows 2000,minor
ASSIGNED,JDT,UI,PC Windows XP,enhancement
NEW,Platform,User,PC Windows XP,normal
NEW,WTP ServerTools,wst.server,PC All,normal
ASSIGNED,JDT,UI,PC Linux,normal
NEW,WTP Source Editing,wst.xsd,PC Windows XP,normal
NEW,Platform,UI,PC Windows 2000,normal
NEW,Platform,Releng,PC Windows XP,major
NEW,GMF-Runtime,General,PC Linux,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Mylyn,XML,PC All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,All All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Target Management,RSE,All All,minor
NEW,WTP Source Editing,wst.xsd,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,Mylyn,Core,PC Linux,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,Releng,All All,enhancement
NEW,GMF-Tooling,Core,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,Other Linux,enhancement
ASSIGNED,Platform,Team,PC Windows XP,enhancement
ASSIGNED,Platform,Team,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,normal
ASSIGNED,Platform,Runtime,PC Windows XP,enhancement
NEW,Mylyn,Tasks,PC All,minor
NEW,WTP Source Editing,wst.xml,PC Windows XP,major
NEW,WTP Source Editing,jst.jsp,All All,enhancement
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,WTP Webservices,jst.ws,PC Windows XP,normal
NEW,CDT,cdt-core,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows XP,normal
NEW,z_Archived,gmt,PC Windows XP,normal
NEW,Platform,User,All All,normal
NEW,Platform,Resources,All All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,CDT,cdt-build,PC Windows XP,critical
ASSIGNED,Platform,Debug,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,enhancement
ASSIGNED,Platform,Resources,PC Linux,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,User,Macintosh Mac OS X - Carbon (unsup.),enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,Resources,PC Windows All,normal
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,normal
NEW,GMF-Tooling,Core,All All,enhancement
NEW,Mylyn Tasks,Bugzilla,PC All,enhancement
NEW,z_Archived,VE,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,minor
NEW,Platform,UI,PC Linux-GTK,normal
NEW,AspectJ,Compiler,PC Windows XP,normal
ASSIGNED,Platform,CVS,All All,normal
NEW,WTP EJB Tools,jst.ejb,PC Windows XP,normal
ASSIGNED,JDT,UI,PC Windows XP,enhancement
NEW,Platform,UI,Macintosh Mac OS X - Carbon (unsup.),normal
NEW,Platform,IDE,PC All,enhancement
NEW,GMF-Runtime,General,PC Windows XP,enhancement
